,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,5,0.11398,5,0.2402,5,0.09987,5,0.22921,5,0.23262,5,0.10827,5,0.20768,5,0.10331,5,0.21492,5,0.12601,5,2.87228,5,0.22949
1,5.01972,0.1686,5.0197,0.14703,5.01972,0.07637,5.0197,0.1116,5.0197,0.20499,5.01972,0.10582,5.0197,0.45964,5.01972,0.2148,5.0197,0.2513,5.01972,0.12479,5.02,2.59808,5.0197,0.06743
2,5.03944,0.1223,5.0394,0.21246,5.03944,0.2182,5.0394,0.17802,5.0394,0.23016,5.03944,0.10373,5.0394,0.07843,5.03944,0.20288,5.0394,0.20588,5.03944,0.061,5.04,0.36644,5.0394,0.41593
3,5.05917,0.16538,5.05909,0.38358,5.05917,0.04854,5.05909,0.01509,5.05909,0.18359,5.05917,0.10147,5.05909,0.00811,5.05917,0.01876,5.05909,0.15208,5.05917,0.12285,5.06,1.33162,5.05909,0.05987
4,5.07889,0.07603,5.07879,0.14573,5.07889,0.04847,5.07879,0.20813,5.07879,0.20304,5.07889,0.10577,5.07879,0.12307,5.07889,0.11238,5.07879,0.02547,5.07889,0.0585,5.08,1.20255,5.07879,0.28431
5,5.09861,0.12561,5.09849,0.29045,5.09861,0.12571,5.09849,0.18947,5.09849,0.10172,5.09861,0.07754,5.09849,0.35051,5.09861,0.04345,5.09849,0.14353,5.09861,0.08011,5.1,4.23607,5.09849,0.05289
6,5.11833,0.06482,5.11819,0.18622,5.11833,0.13457,5.11819,0.0343,5.11819,0.0233,5.11833,0.08894,5.11819,0.1166,5.11833,0.21072,5.11819,0.20202,5.11833,0.04878,5.12,0.8192,5.11819,0.2513
7,5.13805,0.16929,5.13789,0.09758,5.13805,0.01529,5.13789,0.26474,5.13789,0.06882,5.13805,0.14007,5.13789,0.20006,5.13805,0.01124,5.13789,0.16207,5.13805,0.05532,5.14,1.87513,5.13789,0.07325
8,5.15778,0.04892,5.15758,0.01086,5.15778,0.06635,5.15758,0.09338,5.15758,0.09742,5.15778,0.1185,5.15758,0.20505,5.15778,0.08763,5.15758,0.04989,5.15778,0.02717,5.16,6.43172,5.15758,0.35627
9,5.1775,0.06084,5.17728,0.11581,5.1775,0.0951,5.17728,0.038,5.17728,0.16458,5.1775,0.01546,5.17728,0.23979,5.1775,0.17996,5.17728,0.25399,5.1775,0.12661,5.18,0.01105,5.17728,0.06724
10,5.19722,0.09257,5.19698,0.0619,5.19722,0.10099,5.19698,0.16786,5.19698,0.12528,5.19722,0.0171,5.19698,0.16846,5.19722,0.03095,5.19698,0.23585,5.19722,0.03048,5.2,0.54685,5.19698,0.29644
11,5.21694,0.04093,5.21668,0.23024,5.21694,0.15266,5.21668,0.4398,5.21668,0.22321,5.21694,0.15327,5.21668,0.41546,5.21694,0.06509,5.21668,0.10761,5.21694,0.0042,5.22,1.6054,5.21668,0.03195
12,5.23667,0.00412,5.23638,0.37697,5.23667,0.02355,5.23638,0.15307,5.23638,0.02416,5.23667,0.007,5.23638,0.00077553,5.23667,0.19608,5.23638,0.02112,5.23667,0.01901,5.24,1.6646,5.23638,0.21916
13,5.25639,0.14178,5.25607,0.2312,5.25639,0.04102,5.25607,0.04765,5.25607,0.45279,5.25639,0.06426,5.25607,0.10868,5.25639,0.12,5.25607,0.08008,5.25639,0.11978,5.26,3.22446,5.25607,0.15265
14,5.27611,0.00168,5.27577,0.17117,5.27611,0.18414,5.27577,0.089,5.27577,0.0833,5.27611,0.14217,5.27577,0.01164,5.27611,0.15643,5.27577,0.19853,5.27611,0.00705,5.28,2.78498,5.27577,0.2976
15,5.29583,0.09308,5.29547,0.16016,5.29583,0.1688,5.29547,0.29186,5.29547,0.41501,5.29583,0.03118,5.29547,0.000672018,5.29583,0.10032,5.29547,0.11587,5.29583,0.12068,5.3,3.34615,5.29547,0.01386
16,5.31555,0.11311,5.31517,0.21385,5.31555,0.00734,5.31517,0.38485,5.31517,0.06561,5.31555,0.15927,5.31517,0.02287,5.31555,0.11042,5.31517,0.16524,5.31555,0.08313,5.32,1.40798,5.31517,0.28584
17,5.33528,0.00183,5.33487,0.10232,5.33528,0.06125,5.33487,0.22154,5.33487,0.04041,5.33528,0.0323,5.33487,0.00115,5.33528,0.00814,5.33487,0.0628,5.33528,0.11496,5.34,0.47046,5.33487,0.34632
18,5.355,0.25498,5.35456,0.09675,5.355,0.08355,5.35456,0.10482,5.35456,0.03757,5.355,0.01782,5.35456,0.12043,5.355,0.2763,5.35456,0.13218,5.355,0.074,5.36,2.0336,5.35456,0.10932
19,5.37472,0.04375,5.37426,0.52121,5.37472,0.09915,5.37426,0.19307,5.37426,0.21527,5.37472,0.00323,5.37426,0.19441,5.37472,0.13447,5.37426,0.10278,5.37472,0.18514,5.38,0.09739,5.37426,0.02832
20,5.39444,0.10067,5.39396,0.23812,5.39444,0.08332,5.39396,0.26771,5.39396,0.28305,5.39444,0.17635,5.39396,0.18368,5.39444,0.08529,5.39396,0.000489045,5.39444,0.08065,5.4,0.33816,5.39396,0.46911
21,5.41416,0.05252,5.41366,0.04114,5.41416,0.29628,5.41366,0.18621,5.41366,0.11285,5.41416,0.03418,5.41366,0.11152,5.41416,0.16884,5.41366,0.15467,5.41416,0.0173,5.42,4.22695,5.41366,0.13997
