,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,0D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,2D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D
,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0.42708,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,17.1105,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
1,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0.36127,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,17.7418,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0,2.02,0
2,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0.30941,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,18.4087,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0,2.04,0
3,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0.26786,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,19.114,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0,2.06,0
4,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0.23408,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,19.8605,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0,2.08,0
5,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0.20627,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,20.6516,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0,2.1,0
6,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0.59079,2.12,0.46258,2.12,0.40692,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,21.4908,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0,2.12,0
7,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0.58281,2.14,0.47565,2.14,0.41841,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,22.3822,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0,2.14,0
8,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0.57827,2.16,0.48928,2.16,0.4304,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,23.3303,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0,2.16,0
